Datetime,Latitude,Longitude,Altitude [m ASL],Image Filename,Image Path
2022:10:25 17:01:33,42.85108652777778,-121.15003997222223,1584.847,00327.JPG,./Images/Fire/RGB/00327.JPG
2022:10:25 17:01:35,42.85114516666667,-121.14989255555557,1584.806,00328.JPG,./Images/Fire/RGB/00328.JPG
2022:10:25 17:01:39,42.85128672222223,-121.14951372222222,1584.795,00329.JPG,./Images/Fire/RGB/00329.JPG
2022:10:25 17:01:42,42.851428694444444,-121.14900916666667,1584.735,00330.JPG,./Images/Fire/RGB/00330.JPG
2022:10:25 17:01:45,42.85154252777778,-121.14845502777779,1584.818,00331.JPG,./Images/Fire/RGB/00331.JPG
2022:10:25 17:01:47,42.85162669444445,-121.14812777777779,1584.781,00332.JPG,./Images/Fire/RGB/00332.JPG
2022:10:25 17:01:51,42.851658,-121.14803058333334,1584.717,00333.JPG,./Images/Fire/RGB/00333.JPG
2022:10:25 17:01:54,42.851800222222224,-121.1477366388889,1584.827,00334.JPG,./Images/Fire/RGB/00334.JPG
2022:10:25 17:01:57,42.85193027777778,-121.14734502777779,1584.808,00335.JPG,./Images/Fire/RGB/00335.JPG
2022:10:25 17:01:59,42.85203491666667,-121.1470016388889,1584.85,00336.JPG,./Images/Fire/RGB/00336.JPG
2022:10:25 17:02:02,42.85193,-121.14683363888889,1584.755,00337.JPG,./Images/Fire/RGB/00337.JPG
2022:10:25 17:02:06,42.85168780555556,-121.14657075000001,1584.811,00338.JPG,./Images/Fire/RGB/00338.JPG
2022:10:25 17:02:09,42.851410083333334,-121.14622566666668,1584.815,00339.JPG,./Images/Fire/RGB/00339.JPG
2022:10:25 17:02:11,42.85109080555556,-121.14587486111112,1584.89,00340.JPG,./Images/Fire/RGB/00340.JPG
2022:10:25 17:02:15,42.85080247222222,-121.14548069444444,1584.945,00341.JPG,./Images/Fire/RGB/00341.JPG
2022:10:25 17:02:17,42.85060502777778,-121.14500180555557,1584.795,00342.JPG,./Images/Fire/RGB/00342.JPG
2022:10:25 17:02:20,42.85047894444445,-121.14447475,1584.738,00343.JPG,./Images/Fire/RGB/00343.JPG
2022:10:25 17:02:23,42.850424333333336,-121.14391747222223,1584.625,00344.JPG,./Images/Fire/RGB/00344.JPG
2022:10:25 17:02:26,42.85044358333334,-121.14335086111112,1584.354,00345.JPG,./Images/Fire/RGB/00345.JPG
2022:10:25 17:02:29,42.85054794444444,-121.1428011388889,1584.124,00346.JPG,./Images/Fire/RGB/00346.JPG
2022:10:25 17:02:32,42.850713694444444,-121.14227075000001,1584.122,00347.JPG,./Images/Fire/RGB/00347.JPG
2022:10:25 17:02:35,42.85095841666667,-121.14181275,1583.955,00348.JPG,./Images/Fire/RGB/00348.JPG
2022:10:25 17:02:38,42.851255,-121.14140947222224,1583.95,00349.JPG,./Images/Fire/RGB/00349.JPG
2022:10:25 17:02:41,42.85160183333333,-121.14111780555557,1584.006,00350.JPG,./Images/Fire/RGB/00350.JPG
2022:10:25 17:02:44,42.851779055555554,-121.14102166666667,1586.117,00351.JPG,./Images/Fire/RGB/00351.JPG
2022:10:25 17:02:47,42.85178694444445,-121.14102433333333,1596.935,00352.JPG,./Images/Fire/RGB/00352.JPG
2022:10:25 17:02:50,42.85178672222222,-121.14114816666667,1592.727,00353.JPG,./Images/Fire/RGB/00353.JPG
2022:10:25 17:02:53,42.85177222222222,-121.14157138888889,1589.797,00354.JPG,./Images/Fire/RGB/00354.JPG
2022:10:25 17:02:56,42.8517545,-121.1421151388889,1587.809,00355.JPG,./Images/Fire/RGB/00355.JPG
2022:10:25 17:02:59,42.85173616666667,-121.14270986111111,1587.711,00356.JPG,./Images/Fire/RGB/00356.JPG
2022:10:26 18:31:36,42.85076322222223,-121.15192283333334,1578.716,00357.JPG,./Images/Fire/RGB/00357.JPG
2022:10:26 18:31:39,42.85076241666667,-121.15192202777779,1578.741,00358.JPG,./Images/Fire/RGB/00358.JPG
2022:10:26 18:31:42,42.850763055555554,-121.15192566666667,1578.701,00359.JPG,./Images/Fire/RGB/00359.JPG
2022:10:26 18:31:45,42.85082902777778,-121.15211725,1578.682,00360.JPG,./Images/Fire/RGB/00360.JPG
2022:10:26 18:31:48,42.85099430555556,-121.15246388888889,1578.628,00361.JPG,./Images/Fire/RGB/00361.JPG
2022:10:26 18:31:51,42.85124263888889,-121.15284816666667,1578.608,00362.JPG,./Images/Fire/RGB/00362.JPG
2022:10:26 18:31:54,42.851542583333334,-121.15321425,1578.775,00363.JPG,./Images/Fire/RGB/00363.JPG
2022:10:26 18:31:57,42.85188930555556,-121.15349472222223,1578.713,00364.JPG,./Images/Fire/RGB/00364.JPG
2022:10:26 18:32:00,42.85204644444445,-121.15362319444445,1578.804,00365.JPG,./Images/Fire/RGB/00365.JPG
2022:10:26 18:32:03,42.85205225,-121.15363008333334,1578.747,00366.JPG,./Images/Fire/RGB/00366.JPG
2022:10:26 18:32:06,42.85205144444445,-121.15362955555557,1578.725,00367.JPG,./Images/Fire/RGB/00367.JPG
2022:10:26 18:32:12,42.85212747222222,-121.15363133333334,1578.678,00368.JPG,./Images/Fire/RGB/00368.JPG
2022:10:26 18:32:15,42.85238066666667,-121.15367591666667,1578.658,00369.JPG,./Images/Fire/RGB/00369.JPG
2022:10:26 18:32:18,42.852750694444445,-121.15364236111111,1578.771,00370.JPG,./Images/Fire/RGB/00370.JPG
2022:10:26 18:32:21,42.85313247222222,-121.15344722222223,1578.733,00371.JPG,./Images/Fire/RGB/00371.JPG
2022:10:26 18:32:24,42.85348041666667,-121.15313502777778,1578.696,00372.JPG,./Images/Fire/RGB/00372.JPG
2022:10:26 18:32:27,42.85378502777778,-121.15274069444445,1578.724,00373.JPG,./Images/Fire/RGB/00373.JPG
2022:10:26 18:32:30,42.85403427777778,-121.1522848888889,1578.697,00374.JPG,./Images/Fire/RGB/00374.JPG
2022:10:26 18:32:33,42.85426075,-121.15179002777778,1578.666,00375.JPG,./Images/Fire/RGB/00375.JPG
2022:10:26 18:32:36,42.854431222222225,-121.15125036111111,1578.655,00376.JPG,./Images/Fire/RGB/00376.JPG
2022:10:26 18:32:39,42.85453163888889,-121.15069194444445,1578.779,00377.JPG,./Images/Fire/RGB/00377.JPG
2022:10:26 18:32:42,42.854534055555554,-121.15013280555556,1578.676,00378.JPG,./Images/Fire/RGB/00378.JPG
2022:10:26 18:32:45,42.85444830555556,-121.14958833333334,1578.711,00379.JPG,./Images/Fire/RGB/00379.JPG
2022:10:26 18:32:48,42.854291333333336,-121.14907061111111,1578.7,00380.JPG,./Images/Fire/RGB/00380.JPG
2022:10:26 18:32:51,42.854076,-121.14858705555557,1578.71,00381.JPG,./Images/Fire/RGB/00381.JPG
2022:10:26 18:32:54,42.85380861111111,-121.14814377777779,1578.689,00382.JPG,./Images/Fire/RGB/00382.JPG
2022:10:26 18:32:57,42.85350047222222,-121.14775930555557,1578.703,00383.JPG,./Images/Fire/RGB/00383.JPG
2022:10:26 18:33:00,42.853149555555554,-121.14749566666667,1578.653,00384.JPG,./Images/Fire/RGB/00384.JPG
2022:10:26 18:33:03,42.85276944444445,-121.14737680555557,1578.687,00385.JPG,./Images/Fire/RGB/00385.JPG
2022:10:26 18:33:06,42.852371,-121.14737752777778,1578.621,00386.JPG,./Images/Fire/RGB/00386.JPG
2022:10:26 18:33:09,42.85200175,-121.14750611111111,1578.633,00387.JPG,./Images/Fire/RGB/00387.JPG
2022:10:26 18:33:12,42.85169863888889,-121.14770830555557,1578.682,00388.JPG,./Images/Fire/RGB/00388.JPG
2022:10:26 18:33:15,42.851324,-121.14778330555556,1578.7,00389.JPG,./Images/Fire/RGB/00389.JPG
2022:10:26 18:33:18,42.85090530555556,-121.14773316666667,1578.625,00390.JPG,./Images/Fire/RGB/00390.JPG
2022:10:26 18:33:21,42.850479444444446,-121.14781705555556,1578.601,00391.JPG,./Images/Fire/RGB/00391.JPG
2022:10:26 18:33:24,42.85006788888889,-121.14802702777779,1578.707,00392.JPG,./Images/Fire/RGB/00392.JPG
2022:10:26 18:33:27,42.84976269444444,-121.14830316666668,1578.641,00393.JPG,./Images/Fire/RGB/00393.JPG
2022:10:26 18:33:30,42.84955519444445,-121.14871297222223,1578.722,00394.JPG,./Images/Fire/RGB/00394.JPG
2022:10:26 18:33:33,42.84943972222222,-121.14919405555557,1578.613,00395.JPG,./Images/Fire/RGB/00395.JPG
2022:10:26 18:33:36,42.849339666666665,-121.14970202777778,1578.639,00396.JPG,./Images/Fire/RGB/00396.JPG
2022:10:26 18:33:39,42.849298000000005,-121.15022397222222,1578.691,00397.JPG,./Images/Fire/RGB/00397.JPG
2022:10:26 18:33:42,42.84934375,-121.15073761111111,1579.422,00398.JPG,./Images/Fire/RGB/00398.JPG
2022:10:26 18:33:45,42.84946197222222,-121.15122805555556,1580.52,00399.JPG,./Images/Fire/RGB/00399.JPG
2022:10:26 18:33:48,42.84956541666667,-121.15156961111111,1580.744,00400.JPG,./Images/Fire/RGB/00400.JPG
2022:10:26 18:33:51,42.84959261111111,-121.15165402777778,1580.643,00401.JPG,./Images/Fire/RGB/00401.JPG
2022:10:26 18:33:54,42.849591805555555,-121.15165586111112,1580.618,00402.JPG,./Images/Fire/RGB/00402.JPG
2022:10:26 18:33:57,42.84959166666667,-121.15165561111111,1580.64,00403.JPG,./Images/Fire/RGB/00403.JPG
2022:10:26 18:34:00,42.84959144444445,-121.15165552777778,1580.666,00404.JPG,./Images/Fire/RGB/00404.JPG
2022:10:26 18:34:03,42.84959147222222,-121.15165686111112,1580.647,00405.JPG,./Images/Fire/RGB/00405.JPG
2022:10:26 18:34:06,42.84959125,-121.15165733333333,1580.621,00406.JPG,./Images/Fire/RGB/00406.JPG
2022:10:26 18:34:09,42.84959077777778,-121.15165705555556,1580.632,00407.JPG,./Images/Fire/RGB/00407.JPG
2022:10:26 18:34:15,42.849590444444445,-121.15165561111111,1580.679,00408.JPG,./Images/Fire/RGB/00408.JPG
2022:10:26 18:34:18,42.84959002777778,-121.15165583333334,1580.617,00409.JPG,./Images/Fire/RGB/00409.JPG
2022:10:26 18:37:03,42.8496815,-121.15159922222223,1577.731,00410.JPG,./Images/Fire/RGB/00410.JPG
2022:10:26 18:37:06,42.84972127777778,-121.151649,1577.665,00411.JPG,./Images/Fire/RGB/00411.JPG
2022:10:26 18:37:09,42.849930666666666,-121.15187236111112,1577.633,00412.JPG,./Images/Fire/RGB/00412.JPG
2022:10:26 18:37:12,42.850261,-121.15216211111111,1577.628,00413.JPG,./Images/Fire/RGB/00413.JPG
2022:10:26 18:37:15,42.85063302777778,-121.15246633333334,1577.662,00414.JPG,./Images/Fire/RGB/00414.JPG
2022:10:26 18:37:18,42.85096458333334,-121.15281475,1577.679,00415.JPG,./Images/Fire/RGB/00415.JPG
2022:10:26 18:37:21,42.8512665,-121.15322016666667,1577.65,00416.JPG,./Images/Fire/RGB/00416.JPG
2022:10:26 18:37:24,42.851637833333335,-121.15356283333334,1577.655,00417.JPG,./Images/Fire/RGB/00417.JPG
2022:10:26 18:37:27,42.85204844444445,-121.15380083333334,1577.72,00418.JPG,./Images/Fire/RGB/00418.JPG
2022:10:26 18:37:30,42.85249397222223,-121.15386169444444,1577.698,00419.JPG,./Images/Fire/RGB/00419.JPG
2022:10:26 18:37:33,42.85294388888889,-121.15379547222223,1577.751,00420.JPG,./Images/Fire/RGB/00420.JPG
2022:10:26 18:37:36,42.853338722222226,-121.15351458333333,1577.684,00421.JPG,./Images/Fire/RGB/00421.JPG
2022:10:26 18:37:39,42.853663250000004,-121.15308583333334,1577.675,00422.JPG,./Images/Fire/RGB/00422.JPG
2022:10:26 18:37:42,42.853933000000005,-121.15260275,1577.789,00423.JPG,./Images/Fire/RGB/00423.JPG
2022:10:26 18:37:45,42.85411397222222,-121.15206022222223,1577.682,00424.JPG,./Images/Fire/RGB/00424.JPG
2022:10:26 18:37:48,42.85425052777778,-121.15149772222223,1577.695,00425.JPG,./Images/Fire/RGB/00425.JPG
2022:10:26 18:37:51,42.854447666666665,-121.15097808333334,1577.648,00426.JPG,./Images/Fire/RGB/00426.JPG
2022:10:26 18:37:54,42.854599138888894,-121.15040405555555,1577.768,00427.JPG,./Images/Fire/RGB/00427.JPG
2022:10:26 18:37:57,42.854584833333334,-121.14979205555557,1577.694,00428.JPG,./Images/Fire/RGB/00428.JPG
2022:10:26 18:38:00,42.854424333333334,-121.14921555555556,1577.673,00429.JPG,./Images/Fire/RGB/00429.JPG
2022:10:26 18:38:03,42.85415288888889,-121.14871727777779,1577.696,00430.JPG,./Images/Fire/RGB/00430.JPG
2022:10:26 18:38:06,42.85379838888889,-121.14832177777778,1577.677,00431.JPG,./Images/Fire/RGB/00431.JPG
2022:10:26 18:38:09,42.85339744444445,-121.14801516666667,1577.655,00432.JPG,./Images/Fire/RGB/00432.JPG
2022:10:26 18:38:12,42.85295927777778,-121.14783138888889,1577.659,00433.JPG,./Images/Fire/RGB/00433.JPG
2022:10:26 18:38:15,42.8525135,-121.14774052777778,1577.698,00434.JPG,./Images/Fire/RGB/00434.JPG
2022:10:26 18:38:18,42.85208572222222,-121.14760872222223,1577.715,00435.JPG,./Images/Fire/RGB/00435.JPG
2022:10:26 18:38:21,42.851638916666666,-121.14752027777779,1577.674,00436.JPG,./Images/Fire/RGB/00436.JPG
2022:10:26 18:38:24,42.85119777777778,-121.14764883333334,1577.684,00437.JPG,./Images/Fire/RGB/00437.JPG
2022:10:26 18:38:27,42.85080111111111,-121.14794825000001,1577.7,00438.JPG,./Images/Fire/RGB/00438.JPG
2022:10:26 18:38:30,42.85045183333334,-121.14834177777779,1577.617,00439.JPG,./Images/Fire/RGB/00439.JPG
2022:10:26 18:38:33,42.85014413888889,-121.14879936111112,1577.713,00440.JPG,./Images/Fire/RGB/00440.JPG
2022:10:26 18:38:36,42.85001441666667,-121.14934258333334,1577.582,00441.JPG,./Images/Fire/RGB/00441.JPG
2022:10:26 18:38:39,42.85004363888889,-121.1498993888889,1577.662,00442.JPG,./Images/Fire/RGB/00442.JPG
2022:10:26 18:38:42,42.85014972222223,-121.15046444444445,1577.667,00443.JPG,./Images/Fire/RGB/00443.JPG
2022:10:26 18:38:45,42.85029161111111,-121.1510265,1577.716,00444.JPG,./Images/Fire/RGB/00444.JPG
2022:10:26 18:38:48,42.850417944444445,-121.15161491666667,1577.768,00445.JPG,./Images/Fire/RGB/00445.JPG
2022:10:26 18:38:51,42.85060144444444,-121.15218141666668,1577.713,00446.JPG,./Images/Fire/RGB/00446.JPG
2022:10:26 18:38:57,42.850813111111115,-121.1525518888889,1577.681,00447.JPG,./Images/Fire/RGB/00447.JPG
2022:10:26 18:59:18,42.85206313888889,-121.15292247222223,1576.519,00448.JPG,./Images/Fire/RGB/00448.JPG
2022:10:26 18:59:21,42.85211291666667,-121.15295230555556,1576.506,00449.JPG,./Images/Fire/RGB/00449.JPG
2022:10:26 18:59:24,42.852366583333335,-121.15308800000001,1576.513,00450.JPG,./Images/Fire/RGB/00450.JPG
2022:10:26 18:59:27,42.85271644444445,-121.15314147222223,1576.527,00451.JPG,./Images/Fire/RGB/00451.JPG
2022:10:26 18:59:30,42.853087055555555,-121.15306558333334,1576.465,00452.JPG,./Images/Fire/RGB/00452.JPG
2022:10:26 18:59:33,42.85345430555556,-121.15287269444445,1576.453,00453.JPG,./Images/Fire/RGB/00453.JPG
2022:10:26 18:59:36,42.85379072222222,-121.15258033333333,1576.515,00454.JPG,./Images/Fire/RGB/00454.JPG
2022:10:26 18:59:39,42.85406455555556,-121.15219411111111,1576.497,00455.JPG,./Images/Fire/RGB/00455.JPG
2022:10:26 18:59:42,42.85426266666667,-121.15172958333333,1576.523,00456.JPG,./Images/Fire/RGB/00456.JPG
2022:10:26 18:59:45,42.854391750000005,-121.1512098888889,1576.532,00457.JPG,./Images/Fire/RGB/00457.JPG
2022:10:26 18:59:48,42.85446347222222,-121.15064919444445,1576.533,00458.JPG,./Images/Fire/RGB/00458.JPG
2022:10:26 18:59:51,42.85446533333334,-121.15007761111112,1576.59,00459.JPG,./Images/Fire/RGB/00459.JPG
2022:10:26 18:59:54,42.854384027777776,-121.14952094444445,1576.504,00460.JPG,./Images/Fire/RGB/00460.JPG
2022:10:26 18:59:57,42.854232305555556,-121.14898377777779,1576.521,00461.JPG,./Images/Fire/RGB/00461.JPG
2022:10:26 19:00:00,42.85401569444445,-121.14849722222223,1576.483,00462.JPG,./Images/Fire/RGB/00462.JPG
2022:10:26 19:00:03,42.85375066666667,-121.14804686111111,1576.584,00463.JPG,./Images/Fire/RGB/00463.JPG
2022:10:26 19:00:06,42.85344525,-121.1476358888889,1576.581,00464.JPG,./Images/Fire/RGB/00464.JPG
2022:10:26 19:00:09,42.853102416666665,-121.14731547222223,1576.59,00465.JPG,./Images/Fire/RGB/00465.JPG
2022:10:26 19:00:12,42.852735305555555,-121.14717419444445,1576.503,00466.JPG,./Images/Fire/RGB/00466.JPG
2022:10:26 19:00:15,42.85234088888889,-121.14713644444446,1576.572,00467.JPG,./Images/Fire/RGB/00467.JPG
2022:10:26 19:00:18,42.85194194444445,-121.14720852777778,1576.527,00468.JPG,./Images/Fire/RGB/00468.JPG
2022:10:26 19:00:21,42.85154788888889,-121.14735752777779,1576.514,00469.JPG,./Images/Fire/RGB/00469.JPG
2022:10:26 19:00:24,42.851186222222225,-121.14761344444445,1576.486,00470.JPG,./Images/Fire/RGB/00470.JPG
2022:10:26 19:00:27,42.85084772222223,-121.14793786111112,1576.471,00471.JPG,./Images/Fire/RGB/00471.JPG
2022:10:26 19:00:30,42.85058297222222,-121.148347,1576.622,00472.JPG,./Images/Fire/RGB/00472.JPG
2022:10:26 19:00:33,42.85041461111111,-121.1488028888889,1576.593,00473.JPG,./Images/Fire/RGB/00473.JPG
2022:10:26 19:00:36,42.850348333333336,-121.14929086111111,1576.551,00474.JPG,./Images/Fire/RGB/00474.JPG
2022:10:26 19:00:39,42.85028394444445,-121.14978825,1576.066,00475.JPG,./Images/Fire/RGB/00475.JPG
2022:10:26 19:00:42,42.85025094444445,-121.15030866666667,1576.047,00476.JPG,./Images/Fire/RGB/00476.JPG
2022:10:26 19:00:45,42.85026688888889,-121.15084561111112,1575.298,00477.JPG,./Images/Fire/RGB/00477.JPG
2022:10:26 19:00:48,42.85034919444445,-121.15140116666667,1572.606,00478.JPG,./Images/Fire/RGB/00478.JPG
2022:10:26 19:00:51,42.85050344444445,-121.15193752777779,1568.589,00479.JPG,./Images/Fire/RGB/00479.JPG
2022:10:26 19:00:54,42.85063661111111,-121.1524718888889,1572.702,00480.JPG,./Images/Fire/RGB/00480.JPG
2022:10:26 19:00:57,42.850642916666665,-121.1529261388889,1573.697,00481.JPG,./Images/Fire/RGB/00481.JPG
2022:10:27 15:26:45,42.865122416666665,-121.134656,1566.567,00001.JPG,./Images/Fire/RGB/00001.JPG
2022:10:27 15:26:48,42.865122472222225,-121.13465644444445,1566.588,00002.JPG,./Images/Fire/RGB/00002.JPG
2022:10:27 15:26:51,42.865123000000004,-121.1346563888889,1566.515,00003.JPG,./Images/Fire/RGB/00003.JPG
2022:10:27 15:26:54,42.86512261111111,-121.13466158333334,1566.55,00004.JPG,./Images/Fire/RGB/00004.JPG
2022:10:27 15:26:57,42.865256333333335,-121.13447944444445,1566.577,00005.JPG,./Images/Fire/RGB/00005.JPG
2022:10:27 15:27:00,42.8655295,-121.13421538888889,1566.584,00006.JPG,./Images/Fire/RGB/00006.JPG
2022:10:27 15:27:03,42.865879972222224,-121.13397858333335,1566.588,00007.JPG,./Images/Fire/RGB/00007.JPG
2022:10:27 15:27:06,42.86627522222222,-121.13385183333334,1566.548,00008.JPG,./Images/Fire/RGB/00008.JPG
2022:10:27 15:27:09,42.866684694444444,-121.13384508333334,1566.605,00009.JPG,./Images/Fire/RGB/00009.JPG
2022:10:27 15:27:12,42.86709305555556,-121.13395141666668,1566.548,00010.JPG,./Images/Fire/RGB/00010.JPG
2022:10:27 15:27:15,42.867468583333334,-121.13417272222223,1566.571,00011.JPG,./Images/Fire/RGB/00011.JPG
2022:10:27 15:27:18,42.86779958333334,-121.13449702777778,1566.548,00012.JPG,./Images/Fire/RGB/00012.JPG
2022:10:27 15:27:27,42.867775111111115,-121.13456986111112,1566.7,00013.JPG,./Images/Fire/RGB/00013.JPG
2022:10:27 15:27:30,42.867743805555556,-121.13453758333334,1566.574,00014.JPG,./Images/Fire/RGB/00014.JPG
2022:10:27 15:27:47,42.86749208333333,-121.13429888888889,1566.763,00015.JPG,./Images/Fire/RGB/00015.JPG
2022:10:27 15:38:13,42.86439683333334,-121.13555552777778,1566.724,00016.JPG,./Images/Fire/RGB/00016.JPG
2022:10:27 15:38:16,42.86442802777778,-121.13547369444446,1566.699,00017.JPG,./Images/Fire/RGB/00017.JPG
2022:10:27 15:38:19,42.86457575,-121.13514375000001,1566.828,00018.JPG,./Images/Fire/RGB/00018.JPG
2022:10:27 15:38:22,42.86470880555556,-121.13490397222223,1566.787,00019.JPG,./Images/Fire/RGB/00019.JPG
2022:10:27 15:38:25,42.864821416666665,-121.134747,1566.802,00020.JPG,./Images/Fire/RGB/00020.JPG
2022:10:27 15:38:28,42.86507527777778,-121.13445019444445,1566.764,00021.JPG,./Images/Fire/RGB/00021.JPG
2022:10:27 15:38:31,42.86540880555556,-121.13417158333334,1566.753,00022.JPG,./Images/Fire/RGB/00022.JPG
2022:10:27 15:38:34,42.86579063888889,-121.13399391666667,1566.822,00023.JPG,./Images/Fire/RGB/00023.JPG
